study_orig;study_common
AI22_552;AI22_552
AI22_553;AI22_553
AI22_554;AI22_554
AI22_555;AI22_555
AI22_556;AI22_556
AI22_557;AI22_557
AI22_558;AI22_558
AI22_559;AI22_559
AI22_560;AI22_560
AI22_562;AI22_562
AI22_563;AI22_563
AI22_565;AI22_565
AI22_566;AI22_566
AI22_567;AI22_567
AI22_568;AI22_568
AI22_570;AI22_570
AI22_571;AI22_571
AI22_572;AI22_572
AI22_573;AI22_573
AI22_574;AI22_574
AI22_575;AI22_575
AI22_576;AI22_576
AI22_577;AI22_577
AI22_580;AI22_580
AI22_581;AI22_581
AI22_582;AI22_582
AI22_583;AI22_583
AI22_584;AI22_584
AI22_585;AI22_585
AI22_586;AI22_586
AI22_587;AI22_587
AI22_588;AI22_588
AI22_589;AI22_589
AI22_591;AI22_591
AI22_592;AI22_592
AI22_593;AI22_593
AI22_594;AI22_594
AI22_595;AI22_595
AI22_596;AI22_596
AI22_597;AI22_597
AI22_598;AI22_598
AI22_599;AI22_599
AI22_6;AI22_6
AI22_600;AI22_600
AI22_601;AI22_601
AI22_602;AI22_602
AI22_603;AI22_603
AI22_604;AI22_604
AI22_605;AI22_605
AI22_606;AI22_606
AI22_607;AI22_607
AI22_608;AI22_608
AI22_610;AI22_610
AI22_611;AI22_611
AI22_613;AI22_613
AI22_618;AI22_618
AI22_619;AI22_619
AI22_620;AI22_620
AI22_624;AI22_624
AI22_628;AI22_628
AI22_63;AI22_63
AI22_64;AI22_64
AI22_65;AI22_65
AI22_66;AI22_66
AI22_67;AI22_67
AI22_695;AI22_695
AI22_696;AI22_696
AI22_7;AI22_7
AI22_70;AI22_70
AI22_71;AI22_71
AI22_74;AI22_74
AI22_75;AI22_75
AI22_755;AI22_755
AI22_758;AI22_758
AI22_76;AI22_76
AI22_77;AI22_77
AI22_78;AI22_78
AI22_791;AI22_791
AI22_8;AI22_8
AI22_806;AI22_806
AI22_81;AI22_81
AI22_821;AI22_821
AI22_824;AI22_824
AI22_825;AI22_825
AI22_84;AI22_84
AI22_85;AI22_85
AI22_86;AI22_86
AI22_87;AI22_87
AI22_88;AI22_88
AI22_89;AI22_89
AI22_894;AI22_894
AI22_9;AI22_9
AI22_90;AI22_90
AI22_901;AI22_901
AI22_909;AI22_909
AI22_91;AI22_91
AI22_910;AI22_910
AI22_911;AI22_911
AI22_912;AI22_912
AI22_913;AI22_913
AI22_914;AI22_914
AI22_915;AI22_915
AI22_916;AI22_916
AI22_920;AI22_920
AI22_921;AI22_921
AI22_922;AI22_922
AI22_923;AI22_923
AI22_924;AI22_924
AI22_925;AI22_925
AI22_926;AI22_926
AI22_927;AI22_927
AI22_928;AI22_928
AI22_930;AI22_930
AI22_931;AI22_931
AI22_932;AI22_932
AI22_933;AI22_933
AI22_935;AI22_935
AI22_936;AI22_936
AI22_937;AI22_937
AI22_940;AI22_940
AI22_943;AI22_943
AI22_946;AI22_946
AI22_949;AI22_949
AI22_953;AI22_953
AI22_954;AI22_954
AI22_955;AI22_955
AI22_970;AI22_970
AI22_996;AI22_996
AI22_997;AI22_997
AI22_998;AI22_998
AI22_999;AI22_999
arroyo1982_1;Arroyo et al 1982
arroyo1982_2;Arroyo et al 1982
Carlo_2016;Carlo_2016
Chiawo2012;Chiawo2012
Correia_2016;Correia_2016
Costa_2018_before_only;Costa_2018
D21_unpublished_data;D21_unpublished_data
Gonzalez-Castro 2012;Gonzalez-Castro 2012
Inouye1988;Inouye1988
Jordano unpublished;Jordano_1993
KITA_mammals_added;KITA_mammals_added
Lara-Romero et al 2019;Lara-Romero et al 2019
Lundgren & Olesen 2005;Lundgren2005
M22_net_011;Silva_2002
M22_net_083;M22_net_083
M22_net_103;M22_net_103
M22_net_116;M22_net_116
Memmott1999;Memmott 1999
motten1982;Motten1982
Moura_2016;Moura_2016
Olea-Wagner 2007;Olea-Wagner 2007
rd brodeur2012;brodeur2012
richard f. johnston1956;johnston1956
Correia 2016;Correia_2016
